省辖市代码,省份,年份,固定长途电话交换机容量 (万路端),局用交换机容量 (万门),移动电话交换机容量 (万户),光缆线路长度 (公里),长途光缆线路长度 (万公里)
110000000000,北京市,2025,,,,,
110000000000,北京市,2024,,,9230.0,593995.11,0.46
110000000000,北京市,2023,,,10750.0,528411.0,0.44
110000000000,北京市,2022,,,10750.0,492356.91,0.43
110000000000,北京市,2021,,,10750.0,471874.69,0.41
110000000000,北京市,2020,,1101.29,9340.0,440119.33,0.42
110000000000,北京市,2019,6.7,1129.42,8295.0,391947.28,0.43
110000000000,北京市,2018,37.68,1149.9,6540.0,377020.03,0.42
110000000000,北京市,2017,45.83,1238.07,5850.0,356820.0,0.46
110000000000,北京市,2016,45.83,1233.27,5230.0,306658.0,0.45
120000000000,天津市,2025,,,,,
120000000000,天津市,2024,,,3366.0,403962.62,0.49
120000000000,天津市,2023,,,3366.0,373817.0,0.47
120000000000,天津市,2022,,,3216.0,346988.59,0.44
120000000000,天津市,2021,,,3036.0,325075.68,0.4
120000000000,天津市,2020,,433.02,3036.0,376891.73,0.46
120000000000,天津市,2019,,429.78,3036.0,362060.14,0.43
120000000000,天津市,2018,9.55,421.79,3456.0,238077.27,0.41
120000000000,天津市,2017,10.59,453.05,3350.0,204693.36,0.41
120000000000,天津市,2016,11.78,476.11,2585.0,183854.36,0.38
130000000000,河北省,2025,,,,,
130000000000,河北省,2024,,,16207.8,2882317.31,4.87
130000000000,河北省,2023,,,15609.7,2728695.0,3.9
130000000000,河北省,2022,,,15609.67,2502431.07,3.84
130000000000,河北省,2021,,,15549.67,2300353.75,3.74
130000000000,河北省,2020,,855.2,15592.5,2230109.96,3.74
130000000000,河北省,2019,5.64,855.45,14610.2,2184222.38,3.71
130000000000,河北省,2018,11.28,891.91,14637.0,2119472.28,3.51
130000000000,河北省,2017,25.44,1016.58,13981.0,1714466.33,3.82
130000000000,河北省,2016,25.44,1219.37,11930.66,1179975.77,3.7
140000000000,山西省,2025,,,,,
140000000000,山西省,2024,,,7251.2,2425223.07,3.66
140000000000,山西省,2023,,,7251.2,1650832.0,3.56
140000000000,山西省,2022,,,7251.2,1588532.31,3.37
140000000000,山西省,2021,,,7699.2,1476041.23,3.27
140000000000,山西省,2020,,249.02,7699.2,1319318.6,3.22
140000000000,山西省,2019,11.59,254.29,7359.2,1278772.4,3.11
140000000000,山西省,2018,17.61,267.58,6090.83,1194827.86,3.01
140000000000,山西省,2017,21.52,432.04,5562.5,1069757.59,3.24
140000000000,山西省,2016,21.52,470.78,5096.49,904757.68,3.16
150000000000,内蒙古自治区,2025,,,,,
150000000000,内蒙古自治区,2024,,,5622.02,2035996.83,7.93
150000000000,内蒙古自治区,2023,,,5863.0,1688029.0,7.53
150000000000,内蒙古自治区,2022,,,5863.0,1703900.52,7.2
150000000000,内蒙古自治区,2021,,,6049.7,1577827.52,6.81
150000000000,内蒙古自治区,2020,,178.63,6136.3,1538618.78,7.08
150000000000,内蒙古自治区,2019,,176.03,6136.3,1309859.3,7.64
150000000000,内蒙古自治区,2018,,181.45,5969.0,876328.05,7.51
150000000000,内蒙古自治区,2017,4.59,238.09,6083.3,985570.99,7.79
150000000000,内蒙古自治区,2016,10.08,327.35,6294.1,586203.2,7.75
210000000000,辽宁省,2025,,,,,
210000000000,辽宁省,2024,,,6834.3,1873761.79,2.13
210000000000,辽宁省,2023,,,6478.6,1831541.0,2.3
210000000000,辽宁省,2022,,,6813.17,1795198.0,2.4
210000000000,辽宁省,2021,,,6795.17,1743545.15,2.35
210000000000,辽宁省,2020,,282.32,6795.17,1644879.1,2.31
210000000000,辽宁省,2019,,373.85,6499.17,1499785.84,2.33
210000000000,辽宁省,2018,11.28,429.36,6499.17,1354702.85,2.19
210000000000,辽宁省,2017,23.36,1030.45,6499.17,1174385.38,2.5
210000000000,辽宁省,2016,23.36,1310.95,6775.17,1035313.88,2.41
220000000000,吉林省,2025,,,,,
220000000000,吉林省,2024,,,4223.0,979104.7,2.69
220000000000,吉林省,2023,,,4183.0,872212.0,2.64
220000000000,吉林省,2022,,,4183.0,856284.8,2.68
220000000000,吉林省,2021,,,5143.0,846889.31,2.66
220000000000,吉林省,2020,,272.29,5143.0,909122.88,2.67
220000000000,吉林省,2019,10.26,244.85,5244.0,791001.83,2.64
220000000000,吉林省,2018,10.26,255.95,5244.0,872629.18,3.37
220000000000,吉林省,2017,8.63,413.4,5103.5,429755.0,2.34
220000000000,吉林省,2016,8.63,485.18,3851.5,411279.0,2.34
230000000000,黑龙江省,2025,,,,,
230000000000,黑龙江省,2024,,,6812.97,1434210.48,5.54
230000000000,黑龙江省,2023,,,7213.0,1361903.0,5.51
230000000000,黑龙江省,2022,,,8092.97,1296066.8,5.25
230000000000,黑龙江省,2021,,,8661.76,1166000.74,5.1
230000000000,黑龙江省,2020,,477.31,9117.76,1499729.54,5.18
230000000000,黑龙江省,2019,,535.4,9079.36,1274097.93,5.02
230000000000,黑龙江省,2018,23.47,608.88,9067.36,1063840.16,5.02
230000000000,黑龙江省,2017,26.21,4525.28,8850.86,1083490.0,5.38
