省辖市代码,省份,年份,软件业务收入 (万元),软件产品收入 (万元),信息技术服务收入 (万元),信息安全收入 (万元),嵌入式系统软件收入 (万元),软件业务出口 (万美元)
110000000000,北京市,2025,,,,,,
110000000000,北京市,2024,311637931.6,67353886.0,237816633.0,4797590.0,1669822.6,882606.5
110000000000,北京市,2023,266932700.0,63721200.0,196922900.0,5094900.0,1193700.0,789700.0
110000000000,北京市,2022,224974365.1,55521331.9,162914624.0,5521555.0,1016854.2,856065.5
110000000000,北京市,2021,203821040.5,52264329.0,145222309.0,5503077.0,831325.5,711272.3
110000000000,北京市,2020,157372908.0,43796721.0,108446873.0,4513174.0,616140.0,582670.2
110000000000,北京市,2019,119830665.0,35843568.0,79482798.0,4150080.0,354219.0,547818.0
110000000000,北京市,2018,97289177.8,30650174.0,62800499.4,3516787.5,321716.9,382497.4
110000000000,北京市,2017,78366515.6,28780763.0,49410450.0,,175302.6,249843.0
110000000000,北京市,2016,64160228.4,24448314.0,39571159.0,,140755.4,256703.0
120000000000,天津市,2025,,,,,,
120000000000,天津市,2024,34541410.9,5911372.4,28184376.6,37536.5,408125.4,25670.5
120000000000,天津市,2023,31194800.0,6706200.0,23946800.0,22600.0,519100.0,24900.0
120000000000,天津市,2022,28130788.2,6208807.7,21260561.0,28432.2,632987.4,24268.6
120000000000,天津市,2021,26583570.7,3497522.5,22422999.5,18827.4,644221.3,20119.5
120000000000,天津市,2020,23749313.6,3748397.3,19574259.0,18914.1,407743.2,25792.9
120000000000,天津市,2019,20261151.1,3475942.8,16219880.7,21778.3,543549.3,22353.9
120000000000,天津市,2018,16405911.3,3740463.0,12355652.0,27754.6,282041.7,26415.2
120000000000,天津市,2017,13519355.3,3310194.5,9526638.3,,682522.5,55912.7
120000000000,天津市,2016,11858458.5,2824402.1,7568853.0,,1465203.4,8347.4
130000000000,河北省,2025,,,,,,
130000000000,河北省,2024,8460263.2,641896.7,7516788.6,42203.0,259374.9,3961.1
130000000000,河北省,2023,6572100.0,699600.0,5577100.0,23000.0,272400.0,100.0
130000000000,河北省,2022,5367599.2,610841.1,4522457.0,17627.3,216673.8,5421.4
130000000000,河北省,2021,4429647.1,652917.6,3570801.2,34070.0,171858.3,10480.1
130000000000,河北省,2020,1704046.0,473704.6,1116485.4,8642.4,105213.6,14377.7
130000000000,河北省,2019,3266655.9,472024.5,2700489.2,7624.5,86517.7,4895.4
130000000000,河北省,2018,2641618.6,392005.3,2176540.6,5597.5,67475.1,3800.2
130000000000,河北省,2017,2378556.8,369809.1,1972130.1,,36617.5,1086.4
130000000000,河北省,2016,2101821.9,365043.1,1721879.6,,14899.2,3805.0
140000000000,山西省,2025,,,,,,
140000000000,山西省,2024,1645953.6,164369.8,1417852.1,30251.9,33479.8,354.9
140000000000,山西省,2023,1124600.0,189300.0,869100.0,24700.0,41500.0,
140000000000,山西省,2022,723336.3,159459.3,507666.0,18445.7,37765.3,
140000000000,山西省,2021,709445.2,156705.9,463844.9,30022.6,58871.7,
140000000000,山西省,2020,692994.1,238511.9,404394.2,13341.3,36746.7,180.2
140000000000,山西省,2019,489207.1,193969.1,261522.2,4543.2,29172.6,64.7
140000000000,山西省,2018,286991.7,140867.6,120870.8,2323.4,22929.9,
140000000000,山西省,2017,298861.6,124380.1,150154.9,,24326.6,
140000000000,山西省,2016,239171.7,104621.3,125910.8,,8639.7,
150000000000,内蒙古自治区,2025,,,,,,
150000000000,内蒙古自治区,2024,250140.6,46941.4,195608.9,,7590.3,
150000000000,内蒙古自治区,2023,94200.0,15000.0,76100.0,,3100.0,
150000000000,内蒙古自治区,2022,81150.4,22398.0,56604.9,,2147.6,
150000000000,内蒙古自治区,2021,2778377.4,31697.1,2745608.6,98.6,973.1,
150000000000,内蒙古自治区,2020,144399.0,33160.8,90039.8,1454.3,19744.1,
150000000000,内蒙古自治区,2019,62636.9,18559.2,41470.1,1910.9,696.7,253.0
150000000000,内蒙古自治区,2018,116699.4,36650.5,70501.3,311.0,9236.6,
150000000000,内蒙古自治区,2017,157280.5,50385.3,91259.9,,15635.2,218.0
150000000000,内蒙古自治区,2016,279597.5,163399.2,115022.6,,1175.7,
210000000000,辽宁省,2025,,,,,,
210000000000,辽宁省,2024,25023932.4,9750694.8,13801566.8,512241.1,959429.6,327453.3
210000000000,辽宁省,2023,23347000.0,12874400.0,9066700.0,542300.0,863600.0,309200.0
210000000000,辽宁省,2022,20703917.4,11811276.4,7996809.4,354361.1,541470.4,284064.7
210000000000,辽宁省,2021,18389339.5,9707692.8,7038013.3,490837.7,1152795.7,272358.5
210000000000,辽宁省,2020,19218201.1,9069440.5,8687839.4,1299573.2,161348.0,259583.2
210000000000,辽宁省,2019,17599753.1,7515634.1,8320639.7,1334118.8,429360.5,244313.5
210000000000,辽宁省,2018,15095709.6,6997948.8,6439154.9,1497153.1,161452.8,259862.7
210000000000,辽宁省,2017,19901516.6,8770756.7,10522326.0,,608434.0,306795.0
210000000000,辽宁省,2016,18903340.6,7906035.2,10340257.3,,657048.1,292433.8
220000000000,吉林省,2025,,,,,,
220000000000,吉林省,2024,5600284.6,1282123.8,3272102.6,242257.7,803800.5,10808.1
220000000000,吉林省,2023,5556300.0,1172500.0,3158000.0,281800.0,943900.0,11600.0
220000000000,吉林省,2022,4999550.0,1072959.7,3039665.9,224715.5,662209.0,17683.9
220000000000,吉林省,2021,5056161.3,989874.9,3088617.3,241839.5,735829.6,11221.9
220000000000,吉林省,2020,4413392.5,1047641.1,2713007.4,185158.2,467585.7,9334.2
220000000000,吉林省,2019,3966438.4,518614.7,2498470.9,74521.5,874831.3,7254.5
220000000000,吉林省,2018,6671132.0,2022633.0,3411101.2,129852.8,1107545.0,4608.8
220000000000,吉林省,2017,5837083.3,1961383.9,3072615.4,,803084.0,9421.4
220000000000,吉林省,2016,5110866.6,1668621.5,2708275.0,,733970.1,8261.2
